plan,nominal_value,abstract_distance,proxy_score,initiation_violation,termination_drift,reachability_gap,boundary_surprise,public_boundary_risk,chain_executability_estimate,true_executability,true_utility,dataset,mode,selector,horizon,seed,N
bridge_0->local_0->bridge_2->local_4,5.5462532022764615,4.129836042985927,6.483554707024115,0.7540882310737744,0.5881997038387967,0.0,1.1853992314261388,1.995157494571802,0.409491777695042,0.015064062188600933,-0.07645089684718032,selection,miscalibrated,raw_bon,4,0,1
bridge_0->local_0->bridge_2->local_4,5.5462532022764615,4.129836042985927,6.483554707024115,0.7540882310737744,0.5881997038387967,0.0,1.1853992314261388,1.995157494571802,0.409491777695042,0.015064062188600933,-0.07645089684718032,selection,miscalibrated,boundary_sieve,4,0,1
local_1->leap_7->leap_6->leap_8,10.497464957225885,7.834964101265992,10.310505907383105,6.967899922238407,1.0868877659536071,2.3246369770462376,15.98194524255456,20.43407967085568,0.000125888138579048,1.4522282160794907e-14,-0.15999999999984757,selection,miscalibrated,raw_bon,4,0,2
bridge_0->local_0->bridge_2->local_4,5.5462532022764615,4.129836042985927,6.483554707024115,0.7540882310737744,0.5881997038387967,0.0,1.1853992314261388,1.995157494571802,0.409491777695042,0.015064062188600933,-0.07645089684718032,selection,miscalibrated,boundary_sieve,4,0,2
leap_0->leap_2->leap_3->bridge_5,11.979214109691272,7.8041149062687145,15.127497129702926,0.7597929990650231,1.0331531888237204,1.3941149062687141,2.0140865753895905,4.219880985082512,0.15355858094611766,0.00837688659064649,-0.059651481958043956,selection,miscalibrated,raw_bon,4,0,4
bridge_0->local_1->bridge_2->bridge_3,6.4215054707418195,4.633504806463629,7.867116949719602,0.0,0.7076415434499598,0.0,0.19362852221216603,0.6919717741978758,0.7670747702431243,0.4654960774070459,2.8291856076782027,selection,miscalibrated,boundary_sieve,4,0,4
leap_0->leap_2->leap_3->bridge_5,11.979214109691272,7.8041149062687145,15.127497129702926,0.7597929990650231,1.0331531888237204,1.3941149062687141,2.0140865753895905,4.219880985082512,0.15355858094611766,0.00837688659064649,-0.059651481958043956,selection,miscalibrated,raw_bon,4,0,8
bridge_0->local_1->leap_1->leap_3,9.150119971018917,6.12246631444058,11.85488532230078,0.1438182723556951,0.8962528207125966,0.9537858802824104,0.5746626068073409,2.1404478096188337,0.38723715292311583,0.04984945109368309,0.29612845799664045,selection,miscalibrated,boundary_sieve,4,0,8
leap_0->leap_2->leap_3->bridge_5,11.979214109691272,7.8041149062687145,15.127497129702926,0.7597929990650231,1.0331531888237204,1.3941149062687141,2.0140865753895905,4.219880985082512,0.15355858094611766,0.00837688659064649,-0.059651481958043956,selection,miscalibrated,raw_bon,4,0,16
bridge_0->bridge_1->leap_2->leap_4,9.84295157030629,6.684636206940838,12.658764495062735,0.0,1.0843778166391995,0.8272455118371438,0.2730205296500487,1.830848833829178,0.44992118637919415,0.13154728963679574,1.1348136011000352,selection,miscalibrated,boundary_sieve,4,0,16
leap_0->leap_2->leap_4->leap_6,12.671340549328036,8.223087922806279,16.486089943403048,0.0,1.2484106357118923,1.7430879228062794,0.3377873832603016,2.8742238343546758,0.27151684888460065,0.05459385095975693,0.5317772774103393,selection,miscalibrated,raw_bon,4,0,32
leap_0->leap_2->leap_4->leap_6,12.671340549328036,8.223087922806279,16.486089943403048,0.0,1.2484106357118923,1.7430879228062794,0.3377873832603016,2.8742238343546758,0.27151684888460065,0.05459385095975693,0.5317772774103393,selection,miscalibrated,boundary_sieve,4,0,32
leap_0->leap_2->leap_4->leap_6,12.671340549328036,8.223087922806279,16.486089943403048,0.0,1.2484106357118923,1.7430879228062794,0.3377873832603016,2.8742238343546758,0.27151684888460065,0.05459385095975693,0.5317772774103393,selection,miscalibrated,raw_bon,4,0,64
leap_0->leap_2->leap_4->leap_6,12.671340549328036,8.223087922806279,16.486089943403048,0.0,1.2484106357118923,1.7430879228062794,0.3377873832603016,2.8742238343546758,0.27151684888460065,0.05459385095975693,0.5317772774103393,selection,miscalibrated,boundary_sieve,4,0,64
leap_0->leap_2->leap_4->leap_6,12.671340549328036,8.223087922806279,16.486089943403048,0.0,1.2484106357118923,1.7430879228062794,0.3377873832603016,2.8742238343546758,0.27151684888460065,0.05459385095975693,0.5317772774103393,selection,miscalibrated,raw_bon,4,0,128
leap_0->leap_2->leap_4->leap_6,12.671340549328036,8.223087922806279,16.486089943403048,0.0,1.2484106357118923,1.7430879228062794,0.3377873832603016,2.8742238343546758,0.27151684888460065,0.05459385095975693,0.5317772774103393,selection,miscalibrated,boundary_sieve,4,0,128
leap_0->leap_3->leap_5->leap_8,12.629447320459782,9.129088601039438,17.182732113598647,0.5727827777771886,1.1949599662536716,2.6490886010394368,1.6242364992894436,5.101138646305729,0.09691486756807362,0.002552475853188171,-0.12776364067541435,selection,miscalibrated,raw_bon,4,0,256
leap_0->leap_2->leap_4->leap_6,12.671340549328036,8.223087922806279,16.98696875010557,0.0,1.2484106357118923,1.7430879228062794,0.3377873832603016,2.8742238343546758,0.27151684888460065,0.05459385095975693,0.5317772774103393,selection,miscalibrated,boundary_sieve,4,0,256
leap_0->leap_2->leap_4->leap_7,12.82419842408029,8.869377133752744,17.653967035090368,0.034523219113589465,1.2187046191868984,2.3893771337527436,0.41706821881384387,3.5504895337572133,0.1936496768114053,0.02215150374959562,0.12407527947657279,selection,miscalibrated,raw_bon,4,0,512
leap_0->leap_2->leap_4->leap_6,12.671340549328036,8.223087922806279,16.98696875010557,0.0,1.2484106357118923,1.7430879228062794,0.3377873832603016,2.8742238343546758,0.27151684888460065,0.05459385095975693,0.5317772774103393,selection,miscalibrated,boundary_sieve,4,0,512
